武汉 湖北,维权,2209,2024-03-04,and,3月8日，湖北省武汉市，武汉市江夏国控市政建设集团有限公司承建江夏乡村振兴农民就业基地（一期）B地块,一期一标段，居民聚集维权。居民反映：电池厂的建造选址就位于小区旁边隔壁200米。
黄冈 湖北,投诉,1450,2024-03-05,and,黄冈市罗田县居民反映自来水浑浊问题，要求相关部门尽快解决水质安全。
襄阳 湖北,维权,800,2024-03-06,and,襄阳市樊城区某楼盘延期交房，业主集体要求退房赔偿。
长沙 湖南,求助,1200,2024-03-07,and,长沙某校学生求助，关于住宿费退费流程不透明。
呼和浩特 内蒙古,建议,300,2024-03-08,and,市民建议增加共享单车投放点。
台北 台湾,维权,500,2024-03-09,and,市民抗议公共设施老化问题。
广州 广东,投诉,1800,2024-03-11,and,广州市天河区居民反映夜间施工噪音扰民，严重影响正常休息。
成都 四川,维权,2100,2024-03-12,and,成都市高新区某长租公寓爆雷，租客和房东聚集要求退还押金和租金。
杭州 浙江,建议,650,2024-03-13,and,市民建议在地铁换乘站增加无障碍电梯，方便老年人和残障人士出行。
西安 陕西,求助,900,2024-03-14,and,未央区部分老旧小区近期停水停电频发，居民求助解决基础设施老化问题。
郑州 河南,维权,3200,2024-03-18,and,某制造工厂拖欠工人近三个月工资，工人聚集要求相关部门介入讨薪。
深圳 广东,投诉,1500,2024-03-19,and,多名外卖骑手投诉平台随意扣罚派送费，要求优化派单和考核算法。
合肥 安徽,求助,400,2024-03-20,and,部分高校应届毕业生求助，称被某科技公司试用期无故辞退且未给任何补偿。
南京 江苏,建议,750,2024-03-21,and,市民建议增加灵活就业人员的社保补贴渠道和线下办理网点。
--
北京 北京,维权,2800,2024-03-25,and,海淀区某知名连锁早教机构突然闭店跑路，家长集体登记要求退还预交学费。
上海 上海,投诉,1350,2024-03-26,and,多名消费者集中投诉某电商平台大促期间“先涨后降”，涉嫌虚假宣传和价格欺诈。
武汉 湖北,求助,600,2024-03-27,and,大学生求助，在二手交易平台购买电子产品遭遇连环诈骗，希望相关部门加快处理。
济南 山东,建议,450,2024-03-28,and,家长建议市场监管局规范中小学周边文具店售卖的“盲盒”类产品，避免诱导未成年人消费。
重庆 重庆,投诉,1100,2024-03-29,and,渝北区居民反映某化工厂夜间疑似偷排废气，导致周边空气经常伴有刺鼻异味。
苏州 江苏,建议,850,2024-03-30,and,市民建议在早晚高峰时段增加工业园区主干道的公交车班次，缓解通勤拥堵。
大连 辽宁,维权,1600,2024-03-31,and,某小区地下车库因暴雨倒灌导致多辆私家车受损，业主联名要求物业公司承担赔偿责任。
昆明 云南,求助,500,2024-04-01,and,部分农户求助，近期极端冰雹天气导致花卉等经济作物受损严重，希望能申请农业防灾减灾补贴。
南京 江苏,维权,269,2026-03-08,nan,3月6日，江苏省南京市，家长聚集维权，家长反映：培训机构老板前天还在收取家长费用昨天下午就消失了，愤怒的家长们直接到教育机构将老板堵住要求退回缴纳的费用。
 ,观点,762,2026-03-08,https://x.com/whyyoutouzhele/status/2030659806332350849,最近，网上流传一则“体制内躺平岗位排名” 人民日报怒批：这是误导，公务员的真实日常是顶着烈日跑田坎，反复解释政策，随时应急处置。那些鼓吹清闲的，炒作躺平岗位的，不是蠢就是坏。 网友们表示：“主持人是怎么忍住不笑的” “求你了，让我去烟草局顶着烈日跑田坎吧”
天津 天津,观点,631,2026-03-08,https://x.com/whyyoutouzhele/status/2030664839040045347,3月7日，天津，一辆面包车车尾贴着： 致同胞：在民族大义，家仇国恨面前，请放下你我的利益纷争，奋起抵抗入侵外敌，因为你我皆为炎黄子孙，华夏儿女，同为中国人。犯我中华者虽远必诛 视频发出后，弹幕网友纷纷表示：“远离盘盘”“空谈大义，临阵必变节”
南宁 广西壮族自治区,流行,365,2026-03-08,https://x.com/whyyoutouzhele/status/2030669872607424850,3月6日，南宁西乡塘区蓝天学校开家长会。期间台上的老师说了一句“ok~呦西~” 随后，评论区的数千名网友 纷纷质疑该老师是“日本间谍”，呼吁拨打“12339”让国安严查
--
来宾 广西壮族自治区,维权,146,2026-03-09,https://x.com/whyyoutouzhele/status/2030778227036209437,3月5日，广西省来宾市武宣县禄新乡古杭村，村民维权，村民反映，村委在村民不知情的情况下将土地出售，愤怒的村民占领工地维权。
龙岩 福建,劳工,141,2026-03-09,https://x.com/whyyoutouzhele/status/2030740839975010461,3月3日，福建省龙岩市武平县。福建创隆纺织有限公司。工人聚集维权，工人反映：自
吉安 江西,维权,141,2026-03-10,https://x.com/whyyoutouzhele/status/2031263790692708853,江西吉安一建筑设备公司发文讨要欠款：称中建七局（上海）拖欠租赁费近300万元已两年 3月9日，江西吉安一家建筑设备公司通过公开发文反映工程款拖欠问题。
 ,教育,199,2026-03-09,https://x.com/whyyoutouzhele/status/2030690010291188066,3月7日，语辰妈妈发出了前往学校维权的视频，视频中维权的家属前往学校学校为女儿讨要公道时遭到校内保安的推搡，家属直接摔倒在了地上，耳朵出血。
 ,,132,2026-03-11,https://x.com/whyyoutouzhele/status/2031656382278033788,“两会唯一个拒绝记者采访的代表” 3月10日，据国内媒体报道，凤凰卫视记者在两会现场采访少林寺现任主持印乐法师，怎么看释永信案，印乐法师一把推开记者的话筒，拒绝接受采访。
